Word1,Word2
suitability,unsuitability
regenerate,unregenerate
established,unestablished
parallel,perpendicular
ground_stroke,volley
advisability,inadvisability
scripted,unscripted
heterodactyl,zygodactyl
endowed,unendowed
commodious,incommodious
selfish,unselfish
hardball,softball
experience,inexperience
propitiousness,unpropitiousness
winged,wingless
necessarily,unnecessarily
anadromous,catadromous
eventful,uneventful
detransitivize,transitivize
no,some
gracious,ungracious
antecedent,subsequent
repentantly,unrepentantly
come_in,go_out
apetalous,petalous
easy_money,tight_money
correctly,incorrectly
invariability,variability
gregarious,ungregarious
invariable,variable
equivalence,nonequivalence
afferent,efferent
contestable,incontestable
weedless,weedy
clockwise,counterclockwise
hospitably,inhospitably
member,nonmember
compassionate,uncompassionate
nonreflective,reflective
appositeness,inappositeness
keep_down,vomit
necessitate,obviate
precocious,retarded
off-street,on-street
citizen,noncitizen
bottom_out,top_out
fat,thin
let,prevent
bigness,littleness
innumerate,numerate
actual,potential
modulated,unmodulated
pardonable,unpardonable
invulnerable,vulnerable
confirmed,unconfirmed
defence,offence
decisively,indecisively
figure,ground
biped,quadruped
efficiency,inefficiency
merit_system,spoils_system
female_monarch,male_monarch
desensitise,sensitise
fatal,nonfatal
antemeridian,postmeridian
air-to-surface,surface-to-air
dextrorotation,levorotation
flexible,inflexible
beginning,middle
get_up,go_to_bed
narrowing,widening
losings,winnings
fit,unfit
direct,inverse
attend_to,neglect
fair,foul
bold,timid
equitable,inequitable
lawfully,unlawfully
immiscible,miscible
capacity,incapacity
quotable,unquotable
drunkenness,soberness
sleepiness,wakefulness
disprove,prove
rise,set
informed,uninformed
androgynous,female
complex_instruction_set_computer,reduced_instruction_set_computer
carved,uncarved
anticlimactic,climactic
intentionally,unintentionally
unwariness,wariness
analyzed,unanalyzed
location,studio
frivolous,serious
activation,deactivation
confine,free
efflux,influx
comfortably,uncomfortably
associate,dissociate
corpuscular_theory_of_light,wave_theory_of_light
nontranslational,translational
ignore,know
improperly,properly
diclinous,monoclinous
aggrade,degrade
waning,waxing
contralateral,ipsilateral
environmentalism,hereditarianism
monovalent,polyvalent
ambiguously,unambiguously
achromatinic,chromatinic
acceptability,unacceptability
declared,undeclared
refined,unrefined
deductive,inductive
domestic_flight,international_flight
denaturalize,naturalize
mindfulness,unmindfulness
aposelene,periselene
conformism,nonconformism
illicitness,licitness
seamed,seamless
accidentally,deliberately
unwearable,wearable
break_even,profit
nonsuppurative,suppurative
heterocercal_fin,homocercal_fin
libertarian,necessitarian
bore,interest
arbitrable,nonarbitrable
composure,discomposure
narrow,wide
darken,lighten
enterprising,unenterprising
angular,rounded
involved,uninvolved
flowering,flowerless
filled,unfilled
heterogeneous,homogeneous
nonuniformity,uniformity
badness,goodness
intelligence,stupidity
fear,fearlessness
harmonious,inharmonious
constitutional,unconstitutional
forbid,permit
anestrus,estrus
capable,incapable
insatiate,satiate
unguiculate,ungulate
unwanted,wanted
ahead,back
discipline,indiscipline
preceding,succeeding
unwary,wary
dry,phlegmy
sink,source
shared,unshared
artfulness,artlessness
anteriority,posteriority
linear,nonlinear
carry_to_term,miscarry
lentic,lotic
arrive,leave
major_surgery,minor_surgery
qualitative,quantitative
impressionable,unimpressionable
irrelevant,relevant
partly,wholly
talented,untalented
downwind,upwind
inferior,superior
bicameral,unicameral
impracticality,practicality
disordered,ordered
irregular,regular
soured,unsoured
beginning,ending
tangled,untangled
endocrine,exocrine
brave,timid
comprehensive,noncomprehensive
systematic,unsystematic
furnished,unfurnished
immateriality,materiality
early,late
attractiveness,unattractiveness
involuntary,voluntary
armed,unarmed
aged,young
benignity,malignity
hardness,softness
assertively,unassertively
disorganise,organise
hateful,lovable
expedience,inexpedience
centralise,decentralize
nonobservance,observance
obtrusiveness,unobtrusiveness
liveborn_infant,stillborn_infant
recognizably,unrecognizably
combed,uncombed
oblique_angle,right_angle
impermanent,permanent
consecrated,desecrated
desynchronization,synchronization
direct,retrograde
misused,used
abolish,establish
overhead,subsurface
effortful,effortless
cleared,uncleared
baptized,unbaptized
balance,imbalance
published,unpublished
heir_apparent,heir_presumptive
concentration,distribution
dedicated_file_server,non-dedicated_file_server
invisibility,visibility
mendacity,veracity
contaminated,uncontaminated
achondritic,chondritic
coherence,incoherence
feed,starve
atheism,theism
deaf,hearing
paved,unpaved
blacken,whiten
imperviousness,perviousness
nonwashable,washable
fair_ball,foul_ball
deepness,shallowness
farsighted,nearsighted
heavy-footed,light-footed
activator,inhibitor
conscious,unconscious
esoteric,exoteric
counterrevolutionary,revolutionary
sinkable,unsinkable
porosity,solidity
assisted,unassisted
myelinated,unmyelinated
distal,proximal
analogous,heterologous
blended,unblended
artifact,natural_object
hyperkalemia,hypokalemia
naturalness,unnaturalness
discernible,indiscernible
cheerfulness,uncheerfulness
anadromous,diadromous
effectually,ineffectually
broad-minded,narrow-minded
descriptive,undescriptive
disfluency,fluency
columned,noncolumned
nosed,noseless
crate,uncrate
constipated,unconstipated
de-iodinating,iodinating
continent,incontinent
cooking_apple,eating_apple
impure,pure
depressant,stimulative
profitableness,unprofitableness
bordered,unbordered
avenged,unavenged
believably,unbelievably
handled,handleless
insurmountable,surmountable
ambidextrous,right-handed
illicitly,licitly
nonproliferation,proliferation
mask,unmask
hit,miss
kern,kern
drop_out,enter
wired,wireless
effective,ineffective
gladden,sadden
clergyman,layman
leeward,windward
rough,smooth
melodious,unmelodious
insignificantly,significantly
additive,subtractive
agreement,disagreement
emersion,immersion
appear,disappear
actinomorphic,zygomorphic
decisive,indecisive
beaked,beakless
dead,live
wheeled,wheelless
heterodactyl_foot,zygodactyl_foot
benevolently,malevolently
ascend,descend
autologous,homologous
precedentedly,unprecedentedly
concentration,dilution
concerned,unconcerned
inopportune,opportune
destructible,indestructible
hard_drug,soft_drug
nonslippery,slippery
stuck,unstuck
overachievement,underachievement
lumper,splitter
impracticableness,practicableness
admissible,inadmissible
saturated,unsaturated
disorderliness,orderliness
expectedness,unexpectedness
controlled,uncontrolled
auspiciousness,inauspiciousness
dabbling_duck,diving_duck
gabled,hipped
immoderate,moderate
pastness,presentness
descriptive_linguistics,prescriptive_linguistics
expressively,inexpressively
thoughtfully,thoughtlessly
come,go
timbered,untimbered
lean,rich
by_all_means,by_no_means
unzip,zip_up
impreciseness,preciseness
insufficient,sufficient
meaningfulness,meaninglessness
high-interest,low-interest
decisiveness,indecisiveness
charitable,uncharitable
blessed,cursed
allopatric,sympatric
modern,old_style
compressibility,incompressibility
integrated,nonintegrated
adsorbent,nonadsorbent
humanely,inhumanely
inheritable,noninheritable
lowland,upland
multiple,single
restraint,unrestraint
prefix,suffix
equipped,unequipped
kind,unkind
decreasing,increasing
downtick,uptick
clarify,obfuscate
explode,implode
deprive,enrich
overshoot,undershoot
ample,meager
future,present
sworn,unsworn
overstock,understock
multiple-choice,true-false
poor_people,rich_people
juiceless,juicy
adjusted,maladjusted
impatient,patient
loading,unloading
disenchant,enchant
at_the_least,at_the_most
inpatient,outpatient
desensitizing,sensitizing
humane,inhumane
